"Stanice","Teplotavzduchu","Teplotarosneho_bodu","Relativnivlhkost","Prumernateplota","Maximalniteplota","Minimalniteplota","Minimalniprizemni_teplota","date_stamp"
"Brno-Tuřany","9,8 °C","1,9 °C","58%","8,3 °C","13,1 °C","1,4 °C","-3,6 °C","10/10/2021 19:00:00"
"Pec pod Sněžkou","-0,1 °C","-2,2 °C","86%","3,6 °C","9,3 °C","-2,9 °C","-5,2 °C","10/10/2021 19:00:00"
"Dukovany","7,1 °C","2,4 °C","72%","7,0 °C","12,3 °C","-0,1 °C","-2,6 °C","10/10/2021 19:00:00"
"Ústí nad Labem","7,1 °C","-1,8 °C","53%","7,8 °C","15,3 °C","2,0 °C","-3,9 °C","10/10/2021 19:00:00"
"Praha-Kbely","7,8 °C","0,3 °C","59%","6,6 °C","13,3 °C","-0,8 °C","-8,4 °C","10/10/2021 19:00:00"
"Červená u Libavé","4,8 °C","-1,0 °C","66%","3,2 °C","7,7 °C","-0,9 °C","-2,7 °C","10/10/2021 19:00:00"
"Temelín","8,2 °C","0,7 °C","59%","5,9 °C","12,1 °C","-0,5 °C","-5,1 °C","10/10/2021 19:00:00"
"Jičín","0,7 °C","-0,8 °C","90%","8,8 °C","14,4 °C","1,4 °C","-1,0 °C","11/10/2021 05:00:00"
"Praha-Libuš","0,1 °C","-0,6 °C","95%","7,0 °C","13,2 °C","-1,3 °C","-6,6 °C","11/10/2021 05:00:00"
"Ostrava-Mošnov","1,9 °C","1,6 °C","98%","6,3 °C","12,1 °C","-1,5 °C","-4,8 °C","11/10/2021 05:00:00"
"Ústí nad Labem","2,0 °C","-1,2 °C","80%","7,8 °C","15,3 °C","2,0 °C","-3,9 °C","11/10/2021 05:00:00"
"Přibyslav","-0,9 °C","-0,9 °C","100%","5,4 °C","13,1 °C","-3,1 °C","-5,0 °C","11/10/2021 05:00:00"
"Kuchařovice","3,1 °C","1,3 °C","88%","7,0 °C","12,3 °C","-0,2 °C","-3,0 °C","11/10/2021 05:00:00"
"Dukovany","2,8 °C","1,0 °C","88%","7,0 °C","12,3 °C","-0,1 °C","-2,6 °C","11/10/2021 05:00:00"
"Kostelní Myslová","0,4 °C","-0,6 °C","93%","6,1 °C","12,1 °C","-0,4 °C","-4,1 °C","11/10/2021 05:00:00"
"Čáslav","0,1 °C","-1,6 °C","88%","6,4 °C","13,7 °C","-1,5 °C","-6,0 °C","11/10/2021 05:00:00"
"Ústí nad Orlicí","-0,7 °C","-1,1 °C","97%","6,0 °C","13,8 °C","-2,4 °C","-5,6 °C","11/10/2021 05:00:00"
"Milešovka","4,7 °C","0,1 °C","72%","4,3 °C","11,4 °C","0,3 °C","-4,8 °C","11/10/2021 05:00:00"
"Šerák","1,2 °C","-6,4 °C","57%","-0,7 °C","2,5 °C","-1,9 °C","-2,2 °C","11/10/2021 05:00:00"
"Maruška","4,3 °C","-1,3 °C","67%","3,9 °C","8,6 °C","-0,8 °C","-1,4 °C","11/10/2021 05:00:00"
"Karlovy Vary","-4,0 °C","-5,0 °C","93%","4,0 °C","11,0 °C","-3,3 °C","-7,6 °C","11/10/2021 05:00:00"
"Pec pod Sněžkou","-1,8 °C","-3,1 °C","91%","3,6 °C","9,3 °C","-2,9 °C","-5,2 °C","11/10/2021 05:00:00"
"Polom","5,2 °C","-2,9 °C","56%","4,6 °C","7,7 °C","2,1 °C","-2,8 °C","11/10/2021 05:00:00"
"Cheb","-2,0 °C","-2,0 °C","100%","6,3 °C","13,7 °C","-2,0 °C","-7,2 °C","11/10/2021 05:00:00"
"Brno-Tuřany","4,3 °C","1,5 °C","82%","8,3 °C","13,1 °C","1,4 °C","-3,6 °C","11/10/2021 05:00:00"
"Liberec","-0,1 °C","-1,6 °C","90%","3,7 °C","13,3 °C","-3,5 °C","-7,4 °C","11/10/2021 05:00:00"
"Košetice","-0,5 °C","-1,3 °C","94%","5,8 °C","12,0 °C","-2,2 °C","-5,6 °C","11/10/2021 05:00:00"
"Praha-Ruzyně","0,9 °C","-1,0 °C","87%","6,6 °C","12,6 °C","-1,1 °C","-4,0 °C","11/10/2021 05:00:00"
"Luká","3,3 °C","-0,7 °C","75%","5,6 °C","12,0 °C","1,3 °C","-2,7 °C","11/10/2021 05:00:00"
"Pardubice","0,3 °C","-0,7 °C","93%","5,9 °C","14,8 °C","-1,7 °C","-4,5 °C","11/10/2021 05:00:00"
"Svratouch","3,8 °C","-1,4 °C","69%","4,9 °C","10,5 °C","0,2 °C","-2,2 °C","11/10/2021 05:00:00"
"České Budějovice","-0,8 °C","-1,5 °C","95%","5,4 °C","12,8 °C","-0,6 °C","-3,0 °C","11/10/2021 05:00:00"
"Kocelovice","0,7 °C","0,0 °C","94%","5,8 °C","11,4 °C","-1,1 °C","-5,0 °C","11/10/2021 05:00:00"
"Lysá hora","2,6 °C","-4,9 °C","58%","1,1 °C","5,6 °C","-1,2 °C","-4,1 °C","11/10/2021 05:00:00"
"Prostějov","2,0 °C","0,5 °C","90%","7,2 °C","13,3 °C","-1,7 °C","-6,1 °C","11/10/2021 05:00:00"
"Přimda","1,5 °C","-0,2 °C","88%","5,1 °C","9,2 °C","0,1 °C","-3,3 °C","11/10/2021 05:00:00"
"Churáňov","-0,6 °C","-1,6 °C","90%","2,4 °C","6,9 °C","-2,5 °C","-9,2 °C","11/10/2021 05:00:00"
"Plzeň-Mikulka","-1,5 °C","-2,2 °C","95%","6,3 °C","14,7 °C","-1,3 °C","-7,1 °C","11/10/2021 05:00:00"
"Kopisty"," "," "," ","7,0 °C","16,1 °C","-2,2 °C","-6,7 °C","11/10/2021 05:00:00"
"Náměšť nad Oslavou","1,2 °C","0,0 °C","91%","6,2 °C","11,4 °C","1,2 °C","-3,3 °C","11/10/2021 05:00:00"
"Holešov","3,6 °C","2,3 °C","91%","6,7 °C","12,3 °C","-1,6 °C","-3,8 °C","11/10/2021 05:00:00"
"Tušimice","1,1 °C","-0,9 °C","87%","5,8 °C","14,7 °C","-1,0 °C","-3,6 °C","11/10/2021 05:00:00"
"Praha-Karlov","0,6 °C","-0,9 °C","90%"," "," "," "," ","11/10/2021 05:00:00"
"Doksany","-2,7 °C","-4,8 °C","86%","5,8 °C","16,3 °C","-2,8 °C","-8,6 °C","11/10/2021 05:00:00"
"Praha-Kbely","-0,2 °C","-1,3 °C","92%","6,6 °C","13,3 °C","-0,8 °C","-8,4 °C","11/10/2021 05:00:00"
"Červená u Libavé","4,0 °C","-1,8 °C","66%","3,2 °C","7,7 °C","-0,9 °C","-2,7 °C","11/10/2021 05:00:00"
"Temelín","-1,3 °C","-1,3 °C","100%","5,9 °C","12,1 °C","-0,5 °C","-5,1 °C","11/10/2021 05:00:00"
"Luká","10,5 °C","0,8 °C","51%","6,1 °C","11,3 °C","2,1 °C","-0,9 °C","11/10/2021 12:00:00"
"Plzeň-Mikulka","13,7 °C","1,9 °C","45%","5,0 °C","14,3 °C","-1,9 °C","-6,7 °C","11/10/2021 12:00:00"
"Košetice","11,5 °C","0,7 °C","48%","4,0 °C","11,5 °C","-0,9 °C","-5,3 °C","11/10/2021 12:00:00"
"České Budějovice","12,7 °C","3,3 °C","53%","4,3 °C","12,3 °C","-1,4 °C","-4,2 °C","11/10/2021 12:00:00"
"Pardubice","11,1 °C","1,9 °C","53%","5,1 °C","14,0 °C","-0,7 °C","-3,8 °C","11/10/2021 12:00:00"
"Šerák","5,5 °C","-2,4 °C","57%","1,1 °C","4,6 °C","-0,4 °C","-3,4 °C","11/10/2021 12:00:00"
"Přimda","9,7 °C","1,6 °C","57%","5,4 °C","9,0 °C","0,3 °C","-3,8 °C","11/10/2021 12:00:00"
"Doksany","9,3 °C","1,7 °C","59%","4,1 °C","14,1 °C","-4,1 °C","-9,5 °C","11/10/2021 12:00:00"
"Dukovany","13,6 °C","1,3 °C","43%","6,7 °C","12,4 °C","1,7 °C","-1,1 °C","11/10/2021 12:00:00"
"Kocelovice","10,8 °C","0,5 °C","49%","3,9 °C","11,7 °C","-0,2 °C","-4,6 °C","11/10/2021 12:00:00"
"Liberec","9,6 °C","2,4 °C","61%","4,3 °C","13,2 °C","-2,2 °C","-5,4 °C","11/10/2021 12:00:00"
"Milešovka","7,2 °C","4,9 °C","85%","4,4 °C","9,9 °C","0,4 °C","-3,7 °C","11/10/2021 12:00:00"
"Ostrava-Mošnov","13,0 °C","1,2 °C","45%","5,8 °C","10,0 °C","-0,5 °C","-2,3 °C","11/10/2021 12:00:00"
"Červená u Libavé","10,8 °C","-1,6 °C","42%","3,5 °C","7,3 °C","-0,5 °C","-2,6 °C","11/10/2021 12:00:00"
"Přibyslav","10,8 °C","2,1 °C","55%","4,4 °C","12,5 °C","-1,4 °C","-4,0 °C","11/10/2021 12:00:00"
"Lysá hora","7,5 °C","-5,0 °C","41%","3,8 °C","5,7 °C","0,9 °C","-1,0 °C","11/10/2021 12:00:00"
"Brno-Tuřany","13,5 °C","1,8 °C","45%","7,7 °C","11,3 °C","1,4 °C","1,4 °C","11/10/2021 12:00:00"
"Churáňov","8,1 °C","-2,2 °C","48%","1,9 °C","7,2 °C","-1,9 °C","-6,7 °C","11/10/2021 12:00:00"
"Čáslav","11,5 °C","3,2 °C","57%","5,1 °C","13,1 °C","-1,2 °C","-5,3 °C","11/10/2021 12:00:00"
"Pec pod Sněžkou","7,7 °C","0,4 °C","60%","1,2 °C","10,3 °C","-2,7 °C","-5,0 °C","11/10/2021 12:00:00"
"Karlovy Vary","8,9 °C","3,1 °C","67%","2,0 °C","11,7 °C","-4,2 °C","-7,5 °C","11/10/2021 12:00:00"
"Tušimice","12,9 °C","3,0 °C","51%","4,6 °C","13,8 °C","-1,0 °C","-3,7 °C","11/10/2021 12:00:00"
"Ústí nad Labem","7,2 °C","1,5 °C","67%","6,3 °C","13,9 °C","0,7 °C","-5,2 °C","11/10/2021 12:00:00"
"Prostějov","13,3 °C","2,1 °C","47%","6,5 °C","11,3 °C","0,6 °C","-3,4 °C","11/10/2021 12:00:00"
"Kostelní Myslová","11,4 °C","1,3 °C","50%","4,4 °C","11,7 °C","-0,2 °C","-4,2 °C","11/10/2021 12:00:00"
"Ústí nad Orlicí","9,1 °C","2,4 °C","63%","5,2 °C","14,0 °C","-2,5 °C","-5,1 °C","11/10/2021 12:00:00"
"Kopisty"," "," "," ","4,0 °C","15,0 °C","-2,1 °C","-6,1 °C","11/10/2021 12:00:00"
"Praha-Kbely","11,3 °C","2,0 °C","53%","6,0 °C","12,0 °C","-0,4 °C","-7,1 °C","11/10/2021 12:00:00"
"Maruška","10,5 °C","-1,2 °C","44%","4,5 °C","9,1 °C","-0,1 °C","1,6 °C","11/10/2021 12:00:00"
"Praha-Libuš","11,7 °C","1,1 °C","48%","4,7 °C","12,5 °C","-0,4 °C","-4,9 °C","11/10/2021 12:00:00"
"Temelín","11,3 °C","2,6 °C","55%","5,9 °C","11,4 °C","-2,3 °C","-2,9 °C","11/10/2021 12:00:00"
"Kuchařovice","13,5 °C","1,8 °C","45%","6,1 °C","11,7 °C","0,5 °C","0,4 °C","11/10/2021 12:00:00"
"Jičín","9,7 °C","1,9 °C","59%","5,8 °C","14,7 °C","-0,4 °C","-1,9 °C","11/10/2021 12:00:00"
"Cheb","12,7 °C","4,9 °C","59%","4,6 °C","12,6 °C","-2,8 °C","-6,8 °C","11/10/2021 12:00:00"
"Holešov","11,9 °C","1,2 °C","48%","6,5 °C","10,5 °C","-1,1 °C","-0,4 °C","11/10/2021 12:00:00"
"Praha-Ruzyně","11,0 °C","2,1 °C","54%","4,3 °C","11,6 °C","-1,1 °C","-1,1 °C","11/10/2021 12:00:00"
"Polom","7,7 °C","0,7 °C","61%","5,7 °C","9,1 °C","2,9 °C","-1,8 °C","11/10/2021 12:00:00"
"Svratouch","9,8 °C","2,7 °C","61%","5,3 °C","10,0 °C","0,9 °C","-0,9 °C","11/10/2021 12:00:00"
"Praha-Karlov","11,4 °C","1,9 °C","52%"," "," "," "," ","11/10/2021 12:00:00"
"Náměšť nad Oslavou","11,9 °C","0,9 °C","47%","6,8 °C","11,7 °C","1,1 °C","-0,5 °C","11/10/2021 12:00:00"
"Náměšť nad Oslavou","9,0 °C","1,3 °C","58%","6,8 °C","11,7 °C","1,1 °C","-0,5 °C","11/10/2021 19:00:00"
"Karlovy Vary","6,9 °C","5,5 °C","91%","2,0 °C","11,7 °C","-4,2 °C","-7,5 °C","11/10/2021 19:00:00"
"Brno-Tuřany","9,6 °C","3,3 °C","65%","7,7 °C","11,3 °C","1,4 °C","1,4 °C","11/10/2021 19:00:00"
"Ústí nad Orlicí","7,6 °C","3,8 °C","77%","5,2 °C","14,0 °C","-2,5 °C","-5,1 °C","11/10/2021 19:00:00"
"Polom","5,2 °C","3,2 °C","87%","5,7 °C","9,1 °C","2,9 °C","-1,8 °C","11/10/2021 19:00:00"
"Svratouch","6,2 °C","3,4 °C","82%","5,3 °C","10,0 °C","0,9 °C","-0,9 °C","11/10/2021 19:00:00"
"Dukovany","8,1 °C","1,3 °C","62%","6,7 °C","12,4 °C","1,7 °C","-1,1 °C","11/10/2021 19:00:00"
"Přimda","6,2 °C","5,6 °C","96%","5,4 °C","9,0 °C","0,3 °C","-3,8 °C","11/10/2021 19:00:00"
"Milešovka","4,6 °C","4,5 °C","99%","4,4 °C","9,9 °C","0,4 °C","-3,7 °C","11/10/2021 19:00:00"
"Doksany","5,9 °C","4,3 °C","90%","4,1 °C","14,1 °C","-4,1 °C","-9,5 °C","11/10/2021 19:00:00"
"Pardubice","9,7 °C","6,5 °C","81%","5,1 °C","14,0 °C","-0,7 °C","-3,8 °C","11/10/2021 19:00:00"
"Praha-Kbely","9,5 °C","7,5 °C","87%","6,0 °C","12,0 °C","-0,4 °C","-7,1 °C","11/10/2021 19:00:00"
"Kostelní Myslová","8,1 °C","1,0 °C","62%","4,4 °C","11,7 °C","-0,2 °C","-4,2 °C","11/10/2021 19:00:00"
"Ostrava-Mošnov","8,4 °C","5,1 °C","80%","5,8 °C","10,0 °C","-0,5 °C","-2,3 °C","11/10/2021 19:00:00"
"Churáňov","4,4 °C","1,3 °C","80%","1,9 °C","7,2 °C","-1,9 °C","-6,7 °C","11/10/2021 19:00:00"
"Kocelovice","9,3 °C","5,8 °C","79%","3,9 °C","11,7 °C","-0,2 °C","-4,6 °C","11/10/2021 19:00:00"
"Plzeň-Mikulka","9,0 °C","7,8 °C","92%","5,0 °C","14,3 °C","-1,9 °C","-6,7 °C","11/10/2021 19:00:00"
"Temelín","10,2 °C","2,1 °C","57%","5,9 °C","11,4 °C","-2,3 °C","-2,9 °C","11/10/2021 19:00:00"
"Praha-Karlov","9,8 °C","7,1 °C","83%"," "," "," "," ","11/10/2021 19:00:00"
"Cheb","7,9 °C","6,2 °C","89%","4,6 °C","12,6 °C","-2,8 °C","-6,8 °C","11/10/2021 19:00:00"
"Tušimice","8,7 °C","4,6 °C","75%","4,6 °C","13,8 °C","-1,0 °C","-3,7 °C","11/10/2021 19:00:00"
"Prostějov","8,6 °C","1,7 °C","62%","6,5 °C","11,3 °C","0,6 °C","-3,4 °C","11/10/2021 19:00:00"
"Liberec","6,9 °C","6,0 °C","94%","4,3 °C","13,2 °C","-2,2 °C","-5,4 °C","11/10/2021 19:00:00"
"Pec pod Sněžkou","5,3 °C","0,8 °C","73%","1,2 °C","10,3 °C","-2,7 °C","-5,0 °C","11/10/2021 19:00:00"
"Holešov","8,4 °C","1,5 °C","62%","6,5 °C","10,5 °C","-1,1 °C","-0,4 °C","11/10/2021 19:00:00"
"Košetice","8,3 °C","4,7 °C","78%","4,0 °C","11,5 °C","-0,9 °C","-5,3 °C","11/10/2021 19:00:00"
"Maruška","6,1 °C","1,5 °C","72%","4,5 °C","9,1 °C","-0,1 °C","1,6 °C","11/10/2021 19:00:00"
"Praha-Libuš","9,7 °C","7,0 °C","83%","4,7 °C","12,5 °C","-0,4 °C","-4,9 °C","11/10/2021 19:00:00"
"Lysá hora","1,6 °C","-0,3 °C","87%","3,8 °C","5,7 °C","0,9 °C","-1,0 °C","11/10/2021 19:00:00"
"Šerák","1,1 °C","-0,2 °C","91%","1,1 °C","4,6 °C","-0,4 °C","-3,4 °C","11/10/2021 19:00:00"
"Červená u Libavé","5,2 °C","0,2 °C","70%","3,5 °C","7,3 °C","-0,5 °C","-2,6 °C","11/10/2021 19:00:00"
"Kopisty","8,1 °C","6,2 °C","88%","4,0 °C","15,0 °C","-2,1 °C","-6,1 °C","11/10/2021 19:00:00"
"České Budějovice","9,9 °C","3,4 °C","64%","4,3 °C","12,3 °C","-1,4 °C","-4,2 °C","11/10/2021 19:00:00"
"Čáslav","9,4 °C","6,0 °C","80%","5,1 °C","13,1 °C","-1,2 °C","-5,3 °C","11/10/2021 19:00:00"
"Ústí nad Labem","7,0 °C","5,0 °C","87%","6,3 °C","13,9 °C","0,7 °C","-5,2 °C","11/10/2021 19:00:00"
"Kuchařovice","8,3 °C","1,2 °C","61%","6,1 °C","11,7 °C","0,5 °C","0,4 °C","11/10/2021 19:00:00"
"Praha-Ruzyně","9,0 °C","6,5 °C","85%","4,3 °C","11,6 °C","-1,1 °C","-1,1 °C","11/10/2021 19:00:00"
"Přibyslav","8,1 °C","4,1 °C","76%","4,4 °C","12,5 °C","-1,4 °C","-4,0 °C","11/10/2021 19:00:00"
"Luká","6,5 °C","2,2 °C","74%","6,1 °C","11,3 °C","2,1 °C","-0,9 °C","11/10/2021 19:00:00"
"Jičín","8,8 °C","6,6 °C","86%","5,8 °C","14,7 °C","-0,4 °C","-1,9 °C","11/10/2021 19:00:00"
"Tušimice","8,1 °C","4,3 °C","77%","4,6 °C","13,8 °C","-1,0 °C","-3,7 °C","12/10/2021 05:00:00"
"Praha-Karlov","7,2 °C","5,2 °C","87%"," "," "," "," ","12/10/2021 05:00:00"
"Karlovy Vary","5,7 °C","4,7 °C","93%","2,0 °C","11,7 °C","-4,2 °C","-7,5 °C","12/10/2021 05:00:00"
"Kuchařovice","6,1 °C","4,8 °C","92%","6,1 °C","11,7 °C","0,5 °C","0,4 °C","12/10/2021 05:00:00"
"Doksany","5,8 °C","3,4 °C","85%","4,1 °C","14,1 °C","-4,1 °C","-9,5 °C","12/10/2021 05:00:00"
"Kocelovice","6,1 °C","4,9 °C","92%","3,9 °C","11,7 °C","-0,2 °C","-4,6 °C","12/10/2021 05:00:00"
"Polom","4,1 °C","3,8 °C","98%","5,7 °C","9,1 °C","2,9 °C","-1,8 °C","12/10/2021 05:00:00"
"Holešov","2,7 °C","1,7 °C","93%","6,5 °C","10,5 °C","-1,1 °C","-0,4 °C","12/10/2021 05:00:00"
"Praha-Ruzyně","11,7 °C","4,5 °C","61%","7,2 °C","14,3 °C","1,5 °C","4,9 °C","12/10/2021 12:00:00"
"Přimda","6,3 °C","5,3 °C","93%","5,6 °C","11,4 °C","1,3 °C","3,4 °C","12/10/2021 12:00:00"
"Luká","8,9 °C","2,6 °C","65%","6,7 °C","11,9 °C","2,8 °C","3,8 °C","12/10/2021 12:00:00"
"Červená u Libavé","8,1 °C","-0,7 °C","54%","6,9 °C","11,5 °C","2,4 °C","-1,8 °C","12/10/2021 12:00:00"
"Praha-Kbely","11,7 °C","3,7 °C","58%","7,4 °C","14,1 °C","0,2 °C","-0,1 °C","12/10/2021 12:00:00"
"Jičín","11,3 °C","4,7 °C","64%","6,0 °C","10,9 °C","-0,4 °C","2,5 °C","12/10/2021 12:00:00"
"Liberec","10,1 °C","5,3 °C","72%","4,8 °C","10,4 °C","-0,7 °C","0,7 °C","12/10/2021 12:00:00"
"Náměšť nad Oslavou","10,2 °C","2,6 °C","59%","8,0 °C","13,4 °C","2,6 °C","0,6 °C","12/10/2021 12:00:00"
"Lysá hora","0,4 °C","0,3 °C","99%","2,8 °C","7,6 °C","0,1 °C","-0,4 °C","12/10/2021 12:00:00"
"Kostelní Myslová","8,9 °C","4,4 °C","74%","7,4 °C","12,5 °C","2,2 °C","2,1 °C","12/10/2021 12:00:00"
"Karlovy Vary","8,7 °C","3,9 °C","72%","5,2 °C","10,9 °C","-1,6 °C","3,0 °C","12/10/2021 12:00:00"
"Holešov","13,1 °C","2,1 °C","47%","7,3 °C","14,3 °C","2,0 °C","-1,0 °C","12/10/2021 12:00:00"
"Ostrava-Mošnov","10,8 °C","5,0 °C","68%","7,0 °C","14,5 °C","0,3 °C","-1,1 °C","12/10/2021 12:00:00"
"Churáňov","4,1 °C","2,6 °C","90%","3,9 °C","9,5 °C","-1,6 °C","1,3 °C","12/10/2021 12:00:00"
"Plzeň-Mikulka","11,4 °C","5,7 °C","68%","7,6 °C","16,0 °C","-1,9 °C","0,5 °C","12/10/2021 12:00:00"
"Šerák","0,8 °C","-0,6 °C","90%","1,6 °C","5,8 °C","-0,7 °C","-1,4 °C","12/10/2021 12:00:00"
"Doksany","12,6 °C","4,7 °C","58%","4,6 °C","14,1 °C","-3,1 °C","-1,2 °C","12/10/2021 12:00:00"
"Cheb","10,5 °C","4,6 °C","67%","5,5 °C","13,2 °C","-1,9 °C","0,9 °C","12/10/2021 12:00:00"
"Tušimice","11,9 °C","4,2 °C","59%","7,9 °C","14,2 °C","1,3 °C","0,2 °C","12/10/2021 12:00:00"
"Pec pod Sněžkou","5,6 °C","2,9 °C","83%","4,1 °C","9,8 °C","-2,5 °C","0,1 °C","12/10/2021 12:00:00"
"Ústí nad Labem","9,2 °C","4,7 °C","74%","6,2 °C","11,9 °C","1,6 °C","2,8 °C","12/10/2021 12:00:00"
"Praha-Karlov","11,8 °C","3,1 °C","55%"," "," "," "," ","12/10/2021 12:00:00"
"Kocelovice","8,0 °C","5,0 °C","82%","7,5 °C","13,2 °C","1,6 °C","3,7 °C","12/10/2021 12:00:00"
"Temelín","10,4 °C","4,3 °C","66%","7,3 °C","14,0 °C","-2,1 °C","4,4 °C","12/10/2021 12:00:00"
"Košetice","9,0 °C","3,4 °C","68%","7,3 °C","12,9 °C","0,2 °C","-0,9 °C","12/10/2021 12:00:00"
"Maruška","8,0 °C","0,7 °C","60%","7,2 °C","11,6 °C","3,8 °C","2,3 °C","12/10/2021 12:00:00"
"Prostějov","11,7 °C","2,7 °C","54%","8,2 °C","14,9 °C","1,8 °C","-0,1 °C","12/10/2021 12:00:00"
"České Budějovice","11,3 °C","5,4 °C","67%","8,5 °C","14,8 °C","-0,8 °C","2,2 °C","12/10/2021 12:00:00"
"Brno-Tuřany","10,4 °C","4,3 °C","66%","9,2 °C","15,6 °C","3,4 °C","0,6 °C","12/10/2021 12:00:00"
"Pardubice","11,0 °C","4,2 °C","63%","7,3 °C","12,2 °C","0,3 °C","2,9 °C","12/10/2021 12:00:00"
"Kopisty"," "," "," ","7,1 °C","15,1 °C","-1,3 °C","1,0 °C","12/10/2021 12:00:00"
"Polom","5,7 °C","3,7 °C","87%","5,0 °C","9,0 °C","3,3 °C","-0,1 °C","12/10/2021 12:00:00"
"Čáslav","11,3 °C","4,1 °C","61%","6,7 °C","13,1 °C","0,8 °C","-0,2 °C","12/10/2021 12:00:00"
"Praha-Libuš","11,6 °C","3,1 °C","56%","7,3 °C","14,8 °C","-0,4 °C","1,0 °C","12/10/2021 12:00:00"
"Dukovany","10,6 °C","2,2 °C","56%","8,5 °C","15,0 °C","3,7 °C","0,6 °C","12/10/2021 12:00:00"
"Ústí nad Orlicí","9,5 °C","5,3 °C","75%","5,9 °C","11,3 °C","-1,3 °C","4,7 °C","12/10/2021 12:00:00"
"Milešovka","6,7 °C","4,4 °C","85%","5,6 °C","10,0 °C","3,1 °C","1,7 °C","12/10/2021 12:00:00"
"Přibyslav","8,5 °C","3,7 °C","72%","6,4 °C","11,8 °C","-0,8 °C","3,5 °C","12/10/2021 12:00:00"
"Svratouch","6,9 °C","3,1 °C","77%","5,9 °C","10,9 °C","3,3 °C","3,3 °C","12/10/2021 12:00:00"
"Kuchařovice","11,6 °C","3,6 °C","58%","9,0 °C","15,1 °C","3,6 °C","2,3 °C","12/10/2021 12:00:00"
"Prostějov","5,4 °C","3,9 °C","90%","6,5 °C","11,3 °C","0,6 °C","-3,4 °C","12/10/2021 05:00:00"
"Praha-Kbely","7,2 °C","5,3 °C","88%","6,0 °C","12,0 °C","-0,4 °C","-7,1 °C","12/10/2021 05:00:00"
"Čáslav","7,9 °C","6,2 °C","89%","5,1 °C","13,1 °C","-1,2 °C","-5,3 °C","12/10/2021 05:00:00"
"Churáňov","2,6 °C","1,9 °C","95%","1,9 °C","7,2 °C","-1,9 °C","-6,7 °C","12/10/2021 05:00:00"
"Ostrava-Mošnov","3,2 °C","2,9 °C","98%","5,8 °C","10,0 °C","-0,5 °C","-2,3 °C","12/10/2021 05:00:00"
"Kopisty"," "," "," ","4,0 °C","15,0 °C","-2,1 °C","-6,1 °C","12/10/2021 05:00:00"
"Dukovany","5,6 °C","3,9 °C","89%","6,7 °C","12,4 °C","1,7 °C","-1,1 °C","12/10/2021 05:00:00"
"Ústí nad Labem","6,5 °C","3,6 °C","82%","6,3 °C","13,9 °C","0,7 °C","-5,2 °C","12/10/2021 05:00:00"
"Svratouch","4,6 °C","4,1 °C","97%","5,3 °C","10,0 °C","0,9 °C","-0,9 °C","12/10/2021 05:00:00"
"Maruška","3,7 °C","2,9 °C","95%","4,5 °C","9,1 °C","-0,1 °C","2,4 °C","12/10/2021 05:00:00"
"Praha-Ruzyně","5,8 °C","4,8 °C","93%","4,3 °C","11,6 °C","-1,1 °C","-1,1 °C","12/10/2021 05:00:00"
"Pardubice","7,8 °C","6,7 °C","93%","5,1 °C","14,0 °C","-0,7 °C","-3,8 °C","12/10/2021 05:00:00"
"Kostelní Myslová","6,0 °C","4,5 °C","90%","4,4 °C","11,7 °C","-0,2 °C","-4,2 °C","12/10/2021 05:00:00"
"České Budějovice","5,6 °C","4,0 °C","90%","4,3 °C","12,3 °C","-1,4 °C","-4,2 °C","12/10/2021 05:00:00"
"Cheb","6,9 °C","5,4 °C","90%","4,6 °C","12,6 °C","-2,8 °C","-6,8 °C","12/10/2021 05:00:00"
"Šerák","0,2 °C","0,2 °C","100%","1,1 °C","4,6 °C","-0,4 °C","-3,4 °C","12/10/2021 05:00:00"
"Ústí nad Orlicí","6,5 °C","5,8 °C","95%","5,2 °C","14,0 °C","-2,5 °C","-5,1 °C","12/10/2021 05:00:00"
"Náměšť nad Oslavou","4,4 °C","4,0 °C","97%","6,8 °C","11,7 °C","1,1 °C","-0,5 °C","12/10/2021 05:00:00"
"Praha-Libuš","6,8 °C","5,3 °C","90%","4,7 °C","12,5 °C","-0,4 °C","-4,9 °C","12/10/2021 05:00:00"
"Přibyslav","5,5 °C","5,5 °C","100%","4,4 °C","12,5 °C","-1,4 °C","-4,0 °C","12/10/2021 05:00:00"
"Temelín","6,2 °C","6,2 °C","100%","5,9 °C","11,4 °C","-2,3 °C","-2,9 °C","12/10/2021 05:00:00"
"Brno-Tuřany","5,5 °C","3,8 °C","89%","7,7 °C","11,3 °C","1,4 °C","1,4 °C","12/10/2021 05:00:00"
"Plzeň-Mikulka","6,6 °C","5,2 °C","91%","5,0 °C","14,3 °C","-1,9 °C","-6,7 °C","12/10/2021 05:00:00"
"Přimda","5,0 °C","4,9 °C","99%","5,4 °C","9,0 °C","0,3 °C","-3,8 °C","12/10/2021 05:00:00"
"Červená u Libavé","3,0 °C","2,2 °C","95%","3,5 °C","7,3 °C","-0,5 °C","-2,6 °C","12/10/2021 05:00:00"
"Košetice","5,5 °C","4,6 °C","94%","4,0 °C","11,5 °C","-0,9 °C","-5,3 °C","12/10/2021 05:00:00"
"Jičín","7,5 °C","6,3 °C","92%","5,8 °C","14,7 °C","-0,4 °C","-1,9 °C","12/10/2021 05:00:00"
"Lysá hora","0,9 °C","0,7 °C","99%","3,8 °C","5,7 °C","0,9 °C","-1,0 °C","12/10/2021 05:00:00"
